row_id,entity,role,note,affiliation,person
9585,RKO Radio Studio Sound Department,Sound Director,,RKO Radio Studio Sound Department,Steve Dunn
9586,Samuel Goldwyn Studio Sound Department,Sound Director,,Samuel Goldwyn Studio Sound Department,Thomas T. Moulton
9587,Paramount Studio Sound Department,Sound Director,,Paramount Studio Sound Department,Loren Ryder
9588,20th Century-Fox Studio Sound Department,Sound Director,,20th Century-Fox Studio Sound Department,E. H. Hansen
9589,Columbia Studio Sound Department,Sound Director,,Columbia Studio Sound Department,John Livadary
9762,General Service Sound Department,Sound Director,,General Service Sound Department,Jack Whitney
9763,Universal Studio Sound Department,Sound Director,,Universal Studio Sound Department,Bernard B. Brown
9764,Samuel Goldwyn Studio Sound Department,Sound Director,,Samuel Goldwyn Studio Sound Department,Thomas T. Moulton
9765,Metro-Goldwyn-Mayer Studio Sound Department,Sound Director,,Metro-Goldwyn-Mayer Studio Sound Department,Douglas Shearer
9766,RKO Radio Studio Sound Department,Sound Director,,RKO Radio Studio Sound Department,John Aalberg
9767,Republic Studio Sound Department,Sound Director,,Republic Studio Sound Department,Charles Lootens
9768,20th Century-Fox Studio Sound Department,Sound Director,,20th Century-Fox Studio Sound Department,E. H. Hansen
9769,Columbia Studio Sound Department,Sound Director,,Columbia Studio Sound Department,John Livadary
9770,Warner Bros. Studio Sound Department,Sound Director,,Warner Bros. Studio Sound Department,Nathan Levinson
9771,Paramount Studio Sound Department,Sound Director,,Paramount Studio Sound Department,Loren Ryder
9772,Hal Roach Studio Sound Department,Sound Director,,Hal Roach Studio Sound Department,Elmer Raguse
9920,Metro-Goldwyn-Mayer Studio Sound Department,Sound Director,,Metro-Goldwyn-Mayer Studio Sound Department,Douglas Shearer
9921,Republic Studio Sound Department,Sound Director,,Republic Studio Sound Department,Charles L. Lootens
9922,Hal Roach Studio Sound Department,Sound Director,,Hal Roach Studio Sound Department,Elmer A. Raguse
9923,20th Century-Fox Studio Sound Department,Sound Director,,20th Century-Fox Studio Sound Department,E. H. Hansen
9924,General Service Sound Department,Sound Director,,General Service Sound Department,Jack Whitney
9925,RKO Radio Studio Sound Department,Sound Director,,RKO Radio Studio Sound Department,John Aalberg
9926,Paramount Studio Sound Department,Sound Director,,Paramount Studio Sound Department,Loren L. Ryder
9927,Samuel Goldwyn Studio Sound Department,Sound Director,,Samuel Goldwyn Studio Sound Department,Thomas T. Moulton
