,rok,plik,kategoria,obiekt,czyWygrany
120,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,MAKEUP AND HAIRSTYLING,"Kazu Hiro, Anne Morgan and Vivian Baker - ""Bombshell""",True
121,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,MUSIC (Original Score),"Hildur Guðnadóttir - ""Joker""",True
122,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,MUSIC (Original Song),"Music by Elton John; Lyric by Bernie Taupin - ""Rocketman""",True
123,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,BEST PICTURE,"Kwak Sin Ae and Bong Joon Ho, Producers - ""Parasite""",True
124,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,PRODUCTION DESIGN,"Production Design: Barbara Ling; Set Decoration: Nancy Haigh - ""Once upon a Time...in Hollywood""",True
125,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,SHORT FILM (Animated),"Matthew A. Cherry and Karen Rupert Toliver - ""Hair Love""",True
126,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,SHORT FILM (Live Action),"Marshall Curry - ""The Neighbors' Window""",True
127,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,SOUND EDITING,"Donald Sylvester - ""Ford v Ferrari""",True
128,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,SOUND MIXING,"Mark Taylor and Stuart Wilson - ""1917""",True
129,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,VISUAL EFFECTS,"Guillaume Rocheron, Greg Butler and Dominic Tuohy - ""1917""",True
130,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,WRITING (Adapted Screenplay),"Screenplay by Taika Waititi - ""Jojo Rabbit""",True
131,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,WRITING (Original Screenplay),"Screenplay by Bong Joon Ho, Han Jin Won; Story by Bong Joon Ho - ""Parasite""",True
132,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,JEAN HERSHOLT HUMANITARIAN AWARD,Geena Davis,True
133,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,HONORARY AWARD,David Lynch,True
134,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,HONORARY AWARD,Wes Studi,True
135,2020,../pages/f8804484-36d6-4aeb-bc7b-7e65c9c7eeaa.html,HONORARY AWARD,Lina Wertmüller,True
136,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,ACTOR IN A LEADING ROLE,"Rami Malek - ""Bohemian Rhapsody""",True
137,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,ACTOR IN A SUPPORTING ROLE,"Mahershala Ali - ""Green Book""",True
138,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,ACTRESS IN A LEADING ROLE,"Olivia Colman - ""The Favourite""",True
139,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,ACTRESS IN A SUPPORTING ROLE,"Regina King - ""If Beale Street Could Talk""",True
140,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,ANIMATED FEATURE FILM,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord and Christopher Miller - ""Spider-Man: Into the Spider-Verse""",True
141,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,CINEMATOGRAPHY,"Alfonso Cuarón - ""Roma""",True
142,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,COSTUME DESIGN,"Ruth Carter - ""Black Panther""",True
143,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,DIRECTING,"Alfonso Cuarón - ""Roma""",True
144,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,DOCUMENTARY (Feature),"Elizabeth Chai Vasarhelyi, Jimmy Chin, Evan Hayes and Shannon Dill - ""Free Solo""",True
145,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,DOCUMENTARY (Short Subject),"Rayka Zehtabchi and Melissa Berton - ""Period. End of Sentence.""",True
146,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,FILM EDITING,"John Ottman - ""Bohemian Rhapsody""",True
147,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,FOREIGN LANGUAGE FILM,"Mexico - ""Roma""",True
148,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,MAKEUP AND HAIRSTYLING,"Greg Cannom, Kate Biscoe and Patricia Dehaney - ""Vice""",True
149,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,MUSIC (Original Score),"Ludwig Goransson - ""Black Panther""",True
150,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,MUSIC (Original Song),"Music and Lyric by Lady Gaga, Mark Ronson, Anthony Rossomando and Andrew Wyatt - ""A Star Is Born""",True
151,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,BEST PICTURE,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers - ""Green Book""",True
152,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,PRODUCTION DESIGN,"Production Design: Hannah Beachler; Set Decoration: Jay Hart - ""Black Panther""",True
153,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,SHORT FILM (Animated),"Domee Shi and Becky Neiman-Cobb - ""Bao""",True
154,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,SHORT FILM (Live Action),"Guy Nattiv and Jaime Ray Newman - ""Skin""",True
155,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,SOUND EDITING,"John Warhurst and Nina Hartstone - ""Bohemian Rhapsody""",True
156,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,SOUND MIXING,"Paul Massey, Tim Cavagin and John Casali - ""Bohemian Rhapsody""",True
157,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,VISUAL EFFECTS,"Paul Lambert, Ian Hunter, Tristan Myles and J.D. Schwalm - ""First Man""",True
158,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,WRITING (Adapted Screenplay),"Written by Charlie Wachtel & David Rabinowitz and Kevin Willmott & Spike Lee - ""BlacKkKlansman""",True
159,2019,../pages/555cbfc7-9223-4abe-8b90-9ce05da9a39d.html,WRITING (Original Screenplay),"Written by Nick Vallelonga, Brian Currie, Peter Farrelly - ""Green Book""",True
